,event,event_label,span_text,label,element,role_label,role,institution,institution_label,date,type_labels
17890,https://g17.dhi-roma.it/resources/event_983,APOSTOLIC PROVISION 983,Joannes iacobus Benipertus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_22924,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_668,Vercellensis,1678-09-01T00:00:00Z,"Resignation,Personal reason,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church"
17891,https://g17.dhi-roma.it/resources/event_15686,APOSTOLIC PROVISION 15686,Philippus le Monnier,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_198770,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_50,Andegavensis,,"apostolic provision,papal grace,Rectorship,Liturgical office"
17892,https://g17.dhi-roma.it/resources/event_1224,APOSTOLIC PROVISION 1224,Carolus Mentalis,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_19243,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_107,Beneventana,1622-05-17T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Without care of souls"
17893,https://g17.dhi-roma.it/resources/event_4742,APOSTOLIC PROVISION 4742,Augustinus Ioannis Baptista de Bandiera,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_80385,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_155,Capuana,1622-11-24T00:00:00Z,"deceased in Rome,apostolic provision,papal grace,death of previous holder,Personal reason,Deacon,Liturgical office"
17894,https://g17.dhi-roma.it/resources/event_3882,APOSTOLIC PROVISION 3882,Raphael Ferrau,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_69388,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_99,Barchinonensis,1622-06-08T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Rectorship,Liturgical office"
17895,https://g17.dhi-roma.it/resources/event_16507,APOSTOLIC PROVISION 16507,Felciani de Faur,https://g17.dhi-roma.it/raw/label_160,https://g17.dhi-roma.it/raw/element_206910,current possessor,https://g17.dhi-roma.it/resources/type_98,https://g17.dhi-roma.it/resources/institution_610,Vapincensis,,"apostolic provision,papal grace,Prior,Office in a monastery"
17896,https://g17.dhi-roma.it/resources/event_4598,APOSTOLIC PROVISION 4598,Franciscus Ballarinus,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_78762,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_116,Bobiensis,1623-01-30T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Defined administrative office,Administrative office,Provostship,church,Church institutions"
17897,https://g17.dhi-roma.it/resources/event_16382,APOSTOLIC PROVISION 16382,Guillelmi Ruellen,https://g17.dhi-roma.it/raw/label_160,https://g17.dhi-roma.it/raw/element_205591,current possessor,https://g17.dhi-roma.it/resources/type_98,https://g17.dhi-roma.it/resources/institution_104,Bellovacensis,1622-05-11T00:00:00Z,"apostolic provision,papal grace,Cancellation of a pension,Prior,Office in a monastery,Order of Saint Benedict,Orders of the monastic tradition"
17898,https://g17.dhi-roma.it/resources/event_16628,APOSTOLIC PROVISION 16628,Iosephus Chapelin,https://g17.dhi-roma.it/raw/label_158,https://g17.dhi-roma.it/raw/element_208257,providee,https://g17.dhi-roma.it/resources/type_68,https://g17.dhi-roma.it/resources/institution_59,Aptensis,1622-10-20T00:00:00Z,"Simony,Sanction,apostolic provision,papal grace,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
17899,https://g17.dhi-roma.it/resources/event_4824,APOSTOLIC PROVISION 4824,ultimi possessoris,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_81305,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_446,Parmensis,1678-02-03T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason"
17900,https://g17.dhi-roma.it/resources/event_7440,APOSTOLIC PROVISION 7440,Pierozzi de Pierozzis,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_111375,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_149,Camerinensis,1678-08-09T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
17901,https://g17.dhi-roma.it/resources/event_7270,APOSTOLIC PROVISION 7270,Francisci Strazzi,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_109344,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_135,Burgi S. Donnini,1678-09-16T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Church institutions,Collegiate church,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
17902,https://g17.dhi-roma.it/resources/event_5843,APOSTOLIC PROVISION 5843,Florii della Cume,https://g17.dhi-roma.it/raw/label_159,https://g17.dhi-roma.it/raw/element_93120,former possessor,https://g17.dhi-roma.it/resources/type_97,https://g17.dhi-roma.it/resources/institution_460,Placentina provinciae Bononiensis,1622-06-17T00:00:00Z,"apostolic provision,papal grace,death of previous holder,Personal reason,Rectorship,Liturgical office"
