,diocese_11,diocese_11_label,event_lead_speed,time_delta,distance,distance_sum,distance_log,time_delta_sum,event_count,diocese_lead_speed
293,https://g17.dhi-roma.it/resources/institution_605,Valentina,0.12789663254048264,109.16666666666667,1121.328863397898,13455.946360774777,7.0222697461485595,1310.0,12,0.06432613507922344
175,https://g17.dhi-roma.it/resources/institution_403,Nannetensis,0.09698724687013195,113.6923076923077,1259.7992347982242,16377.390052376915,7.138707649788235,1478.0,13,0.06278971545821857
141,https://g17.dhi-roma.it/resources/institution_350,Lunensarzanen,0.1017722788669617,92.10526315789474,322.96685035656026,12272.74031354929,5.777549687480743,3500.0,38,0.06272768232121949
79,https://g17.dhi-roma.it/resources/institution_224,Cretensis,0.0632279657545822,110.4,1014.3804944227162,5071.902472113581,6.922033354813857,552.0,5,0.06269957748925595
321,https://g17.dhi-roma.it/resources/institution_677,Alatrina,0.13457639759574574,69.6,73.31809178001768,366.59045890008844,4.294807396719263,348.0,5,0.0617070028264262
345,https://g17.dhi-roma.it/resources/institution_719,Imolensis,0.07480127810553698,91.71428571428571,286.6192367134726,2006.3346569943083,5.658154633565437,642.0,7,0.06169327482080695
26,https://g17.dhi-roma.it/resources/institution_140,Caesaraugustana,0.10915759786394408,113.71875,1111.7696961939973,35576.630278207915,7.013708345621547,3639.0,32,0.06167591840062916
199,https://g17.dhi-roma.it/resources/institution_436,Oxonensis,0.09923433866895821,116.42105263157895,1293.5172200027075,24576.827180051445,7.165120314256997,2212.0,19,0.061544885158627015
288,https://g17.dhi-roma.it/resources/institution_593,Ulixboniensis,0.09071633609885596,122.58823529411765,1867.4192775521321,31746.127718386248,7.532312691201068,2084.0,17,0.06144400947716802
159,https://g17.dhi-roma.it/resources/institution_379,Miletensis,0.06286010777196134,100.8,475.3962925297916,2376.981462648958,6.164148756262516,504.0,5,0.061152269407366226
52,https://g17.dhi-roma.it/resources/institution_184,Casenatensis,0.08334029352453429,90.38461538461539,249.40949890605404,3242.3234857787024,5.519096119553739,1175.0,13,0.06106234004612647
115,https://g17.dhi-roma.it/resources/institution_298,Illerdensis,0.12078350592355785,113.47368421052632,986.7573713248975,37496.7801103461,6.894424184821512,4312.0,38,0.06075791257495766
253,https://g17.dhi-roma.it/resources/institution_529,Seguntin,0.8122767036047098,118.016,1268.1597346957192,31703.993367392977,7.145322100797941,2950.4,25,0.060545367584038945
49,https://g17.dhi-roma.it/resources/institution_179,Celsonensis,0.06900502525372716,112.57142857142857,911.5289525213383,6380.702667649368,6.815123357214198,788.0,7,0.06054043591433932
189,https://g17.dhi-roma.it/resources/institution_421,Novariensis,0.12984840560960068,103.14285714285714,504.7283811444064,7066.19733602169,6.224020425457269,1444.0,14,0.060343688335458286
231,https://g17.dhi-roma.it/resources/institution_484,Redonensis,0.08881758719976543,119.44444444444444,1310.518854832361,11794.669693491249,7.178178410170348,1075.0,9,0.060096377387472685
85,https://g17.dhi-roma.it/resources/institution_246,Elnensis,0.09936779483142498,111.04166666666667,788.8420832265477,18932.209997437145,6.670566152811749,2665.0,24,0.06007264077579061
154,https://g17.dhi-roma.it/resources/institution_369,Mediolanensis,0.12942758121726605,104.0909090909091,477.5426598039796,10505.93851568755,6.168653495833835,2290.0,22,0.059262173322421126
339,https://g17.dhi-roma.it/resources/institution_706,Calliensis,0.07026671902462638,88.57142857142857,183.97581655126038,1287.8307158588227,5.214804317184443,620.0,7,0.05887682293595339
343,https://g17.dhi-roma.it/resources/institution_715,Fesulana,0.13036266991680423,93.83333333333333,232.9159959275336,1397.4959755652017,5.450677856058378,563.0,6,0.05808892919422783
266,https://g17.dhi-roma.it/resources/institution_557,Terdonensis,0.09238236504831973,105.55555555555556,443.71078362825233,3993.3970526542707,6.095172961962084,950.0,9,0.05774374385016711
96,https://g17.dhi-roma.it/resources/institution_266,Fossanensis,0.06973320788395974,107.42857142857143,486.1997885955194,3403.398520168636,6.186619627072219,752.0,7,0.05758821461370417
53,https://g17.dhi-roma.it/resources/institution_187,Civitatensis Provinciae Compostellani,0.07904136057453756,129.0,1596.9268687433882,15969.268687433883,7.375836354269421,1290.0,10,0.057177026002088537
