,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels
3641,https://g17.dhi-roma.it/resources/event_5752,APOSTOLIC PROVISION 5752,1622-04-15,1622-06-11,https://g17.dhi-roma.it/resources/institution_132,Brugnatensis,https://g17.dhi-roma.it/resources/institution_840,Genova,POINT (9.7252388888889 44.236675),https://g17.dhi-roma.it/resources/place_127,Brugnato,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship"
3642,https://g17.dhi-roma.it/resources/event_5744,APOSTOLIC PROVISION 5744,1622-04-15,1622-06-11,https://g17.dhi-roma.it/resources/institution_440,Palentina,https://g17.dhi-roma.it/resources/institution_871,Toledo,POINT (-4.5206472222222 42.432127777778),https://g17.dhi-roma.it/resources/place_432,Palencia Province,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
3643,https://g17.dhi-roma.it/resources/event_6369,APOSTOLIC PROVISION 6369,1622-01-16,1622-08-13,https://g17.dhi-roma.it/resources/institution_556,Tarvisina,https://g17.dhi-roma.it/resources/institution_839,Aquileia,POINT (12.242219444444 45.672219444444),https://g17.dhi-roma.it/resources/place_544,Treviso,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,Reservation of a pension,Pension related types,Liturgical office,rectorship in a parish church,Rectorship"
3644,https://g17.dhi-roma.it/resources/event_5542,APOSTOLIC PROVISION 5542,1622-03-16,1622-04-19,https://g17.dhi-roma.it/resources/institution_110,Bisignanensis,https://g17.dhi-roma.it/resources/institution_896,Rome,POINT (16.28106 39.50727),https://g17.dhi-roma.it/resources/place_106,Bisignano,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Parish Church,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
3645,https://g17.dhi-roma.it/resources/event_5746,APOSTOLIC PROVISION 5746,1620-04-11,1622-06-11,https://g17.dhi-roma.it/resources/institution_325,Leighliniensis,https://g17.dhi-roma.it/resources/institution_817,Dublin,POINT (-7.0194444444444 52.736388888889),https://g17.dhi-roma.it/resources/place_316,Old Leighlin,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Monastery,Monastic institutions,Office in a monastery,Head of an abbey"
3646,https://g17.dhi-roma.it/resources/event_2412,APOSTOLIC PROVISION 2412,1622-11-15,1623-01-21,https://g17.dhi-roma.it/resources/institution_262,Florentina,https://g17.dhi-roma.it/resources/institution_842,Firenze,POINT (11.254166666667 43.771388888889),https://g17.dhi-roma.it/resources/place_253,Florence,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,rectorship of a prior,Liturgical office,Rectorship,Parish Church,Church institutions"
3647,https://g17.dhi-roma.it/resources/event_4551,APOSTOLIC PROVISION 4551,1622-07-16,1623-01-24,https://g17.dhi-roma.it/resources/institution_578,Tricaricensis,https://g17.dhi-roma.it/resources/institution_854,Acerenza,POINT (16.15 40.616666666667),https://g17.dhi-roma.it/resources/place_565,Tricarico,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship"
3648,https://g17.dhi-roma.it/resources/event_5608,APOSTOLIC PROVISION 5608,1622-03-16,1622-05-18,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,https://g17.dhi-roma.it/resources/institution_1006,Mechelen-Bruxelles,POINT (5.570555555555556 50.639722222222225),https://g17.dhi-roma.it/resources/place_319,Liège,https://g17.dhi-roma.it/resources/place_578,Tusculum,POINT (12.710833333333 41.798333333333),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship"
3649,https://g17.dhi-roma.it/resources/event_3825,APOSTOLIC PROVISION 3825,1647-06-07,1678-06-07,https://g17.dhi-roma.it/resources/institution_298,Illerdensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (0.63333333333333 41.616666666667),https://g17.dhi-roma.it/resources/place_289,Lleida,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,Referral to a higher authority,death of previous holder,Biographical reasons,Church institutions,Major church,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
3650,https://g17.dhi-roma.it/resources/event_1280,APOSTOLIC PROVISION 1280,1622-07-16,1622-11-28,https://g17.dhi-roma.it/resources/institution_298,Illerdensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (0.63333333333333 41.616666666667),https://g17.dhi-roma.it/resources/place_289,Lleida,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,Rectorship,Parish Church,Church institutions"
