,province,province_label,time_delta,distance,event_count,province_lead_speed
42,https://g17.dhi-roma.it/resources/institution_864,Palermo (Sicily),72.26666666666667,485.83155690105747,15,0.08559772102978058
75,https://g17.dhi-roma.it/resources/institution_964,Constantinople,82.88888888888889,1203.491107165193,18,0.08557216730893621
4,https://g17.dhi-roma.it/resources/institution_807,Mainz,80.0,920.6716236034647,15,0.08531379286699889
55,https://g17.dhi-roma.it/resources/institution_879,Trani,69.33333333333333,340.0072753396896,3,0.08407163964575745
28,https://g17.dhi-roma.it/resources/institution_850,Salerno,69.35135135135135,313.27652114752783,37,0.08286913149757537
5,https://g17.dhi-roma.it/resources/institution_812,Zadar,70.33333333333333,332.7159419985696,6,0.08256809145376105
61,https://g17.dhi-roma.it/resources/institution_891,Bologna,72.28358208955224,385.0751559785099,67,0.08236225092158263
73,https://g17.dhi-roma.it/resources/institution_962,Sassari,71.66666666666667,362.84643726065127,3,0.08224157730571605
29,https://g17.dhi-roma.it/resources/institution_851,Sorrento,65.33333333333333,209.77953376485675,9,0.0818274052046221
21,https://g17.dhi-roma.it/resources/institution_841,Ravenna,71.2564417177914,321.0042461162757,163,0.08099554526840856
23,https://g17.dhi-roma.it/resources/institution_843,Pisa,70.5,264.9963670624313,22,0.07914490945665076
65,https://g17.dhi-roma.it/resources/institution_905,Syracuse,81.33333333333333,587.2207876040649,3,0.07838607636770628
41,https://g17.dhi-roma.it/resources/institution_863,Otranto,82.74193548387096,523.0357616182945,31,0.07565268811971067
18,https://g17.dhi-roma.it/resources/institution_838,Milano,83.71531531531531,467.45143710123557,111,0.07343095396966302
53,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,72.91406649616368,200.81223309075955,391,0.07272081454965386
12,https://g17.dhi-roma.it/resources/institution_823,Besançon,91.75,784.1407723321,8,0.07263856741992487
1,https://g17.dhi-roma.it/resources/institution_1006,Mechelen-Bruxelles,97.09361702127659,1133.2478684715793,47,0.07243362874594915
39,https://g17.dhi-roma.it/resources/institution_861,Taranto,83.7,428.9847615762918,10,0.0724184157406924
45,https://g17.dhi-roma.it/resources/institution_869,Zaragoza,100.25274725274726,1129.3428047775628,91,0.07011669352166337
20,https://g17.dhi-roma.it/resources/institution_840,Genova,84.42307692307692,366.9481174525284,78,0.06994794177073686
68,https://g17.dhi-roma.it/resources/institution_951,Vercelli,89.85714285714286,496.46317137595486,14,0.06908197953855928
36,https://g17.dhi-roma.it/resources/institution_858,Santa Severina,90.0,483.6997598858769,2,0.06868293759352845
10,https://g17.dhi-roma.it/resources/institution_820,Cologne,103.875,1191.9171178103365,8,0.06819079001847916
51,https://g17.dhi-roma.it/resources/institution_875,Lisbon,110.1470588235294,1783.253878178191,34,0.06796545523680911
46,https://g17.dhi-roma.it/resources/institution_870,Tarragona,100.34342629482072,902.1902771219574,251,0.06781535870689176
22,https://g17.dhi-roma.it/resources/institution_842,Firenze,79.48387096774194,212.7714089709226,62,0.06743781256296176
32,https://g17.dhi-roma.it/resources/institution_854,Acerenza,86.0,329.42983734422023,20,0.06741120226195893
25,https://g17.dhi-roma.it/resources/institution_846,Capua,77.73076923076923,159.75285430615756,26,0.06527180948597705
14,https://g17.dhi-roma.it/resources/institution_827,Tours,110.4390243902439,1334.1809798324532,41,0.06515878715920767
56,https://g17.dhi-roma.it/resources/institution_885,Évora,115.5,1770.8350820455696,4,0.06475503473655551
19,https://g17.dhi-roma.it/resources/institution_839,Aquileia,94.28062015503876,414.4732451082305,129,0.06392627048055444
77,https://g17.dhi-roma.it/resources/institution_992,Ancona,84.0,212.50527517006702,1,0.06379722395697714
27,https://g17.dhi-roma.it/resources/institution_849,Napoli,78.490625,128.84725058160834,64,0.06190073781089226
16,https://g17.dhi-roma.it/resources/institution_832,Narbonne,107.96,788.40258157039,25,0.06178222350607268
35,https://g17.dhi-roma.it/resources/institution_857,Rossano,99.25,435.238219397414,4,0.061218070649796605
43,https://g17.dhi-roma.it/resources/institution_867,Cagliari (Sardinia),89.77777777777777,234.59711178626898,9,0.060793102257740164
15,https://g17.dhi-roma.it/resources/institution_830,Bordeaux,118.0,1189.4021747444153,1,0.06001022106533084
49,https://g17.dhi-roma.it/resources/institution_873,Braga,128.92592592592592,1718.6796763198056,27,0.05777978006737023
