,diocese_id,diocese_name,average_combined_score,average_ratio_score,count_positive_score,total_events,unique_persons,likelihood
268,https://g17.dhi-roma.it/resources/institution_34,Albiensis,0.03,0.04,2,50,1,typical
552,https://g17.dhi-roma.it/resources/institution_715,Fesulana,0.029411764705882353,0.058823529411764705,1,17,1,typical
101,https://g17.dhi-roma.it/resources/institution_125,Bracharensis,0.029017857142857144,0.05803571428571429,2,32,1,typical
358,https://g17.dhi-roma.it/resources/institution_445,Parisiensis,0.02887788778877888,0.037953795379537955,4,101,1,typical
203,https://g17.dhi-roma.it/resources/institution_250,Engolismensis,0.027777777777777783,0.027777777777777783,1,30,1,typical
504,https://g17.dhi-roma.it/resources/institution_635,Virdunensis,0.02777777777777778,0.05555555555555556,1,12,1,typical
522,https://g17.dhi-roma.it/resources/institution_674,taurinensis,0.027777777777777776,0.05555555555555555,1,18,1,typical
562,https://g17.dhi-roma.it/resources/institution_78,Astoricensis,0.027083333333333334,0.05416666666666667,2,30,1,typical
481,https://g17.dhi-roma.it/resources/institution_600,Urgellensis,0.02702702702702703,0.02702702702702703,1,37,1,typical
513,https://g17.dhi-roma.it/resources/institution_647,Xanctonensis,0.026802465826856074,0.03202894666309301,3,82,1,typical
246,https://g17.dhi-roma.it/resources/institution_313,Lamacensis,0.02631578947368421,0.05263157894736842,1,19,1,typical
445,https://g17.dhi-roma.it/resources/institution_555,Tarraconensis,0.02631578947368421,0.05263157894736842,1,19,1,typical
509,https://g17.dhi-roma.it/resources/institution_641,Volaterrana,0.026041666666666668,0.052083333333333336,1,12,1,typical
117,https://g17.dhi-roma.it/resources/institution_140,Caesaraugustana,0.02564102564102564,0.02564102564102564,2,78,1,typical
280,https://g17.dhi-roma.it/resources/institution_354,Maioricensis,0.025,0.05,1,20,1,typical
277,https://g17.dhi-roma.it/resources/institution_350,Lunensarzanen,0.023956043956043956,0.032527472527472526,2,50,1,typical
500,https://g17.dhi-roma.it/resources/institution_629,Vicensis,0.023809523809523808,0.023809523809523808,1,42,1,typical
463,https://g17.dhi-roma.it/resources/institution_58,Teramensis seu Apruntina,0.02366863905325444,0.04733727810650888,1,13,1,typical
206,https://g17.dhi-roma.it/resources/institution_256,Feretrana,0.02287581699346405,0.0457516339869281,1,18,1,typical
335,https://g17.dhi-roma.it/resources/institution_419,Nolana,0.022321428571428572,0.044642857142857144,1,14,1,typical
480,https://g17.dhi-roma.it/resources/institution_599,Urbis seu Romana,0.02204861111111111,0.04409722222222222,2,40,1,typical
130,https://g17.dhi-roma.it/resources/institution_156,Caputaquensis,0.021390374331550804,0.04278074866310161,1,17,1,typical
439,https://g17.dhi-roma.it/resources/institution_549,Surrentina,0.020761245674740483,0.04152249134948097,1,17,1,typical
295,https://g17.dhi-roma.it/resources/institution_370,Meldensis,0.01937984496124031,0.03875968992248062,2,43,1,typical
355,https://g17.dhi-roma.it/resources/institution_441,Pampilonensis,0.018867924528301886,0.018867924528301886,1,53,1,typical
357,https://g17.dhi-roma.it/resources/institution_443,Papiensis,0.01851851851851852,0.03703703703703704,1,18,1,typical
