,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels,time_delta,geometry_15,geometry_19,coords_15,coords_19,distance,distance_log,event_lead_speed
2781,https://g17.dhi-roma.it/resources/event_1952,APOSTOLIC PROVISION 1952,1622-09-29,1622-09-29,https://g17.dhi-roma.it/resources/institution_223,Cremonensis,https://g17.dhi-roma.it/resources/institution_838,Milano,POINT (10.024722222222222 45.13333333333333),https://g17.dhi-roma.it/resources/place_216,Cremona,https://g17.dhi-roma.it/resources/place_578,Tusculum,POINT (12.710833333333 41.798333333333),"deceased in Rome,Placing a commenda,act of grace,apostolic provision,papal grace,Motu proprio,death of previous holder,Biographical reasons,Monastery,Monastic institutions,Office in a monastery,Head of an abbey",0.4,POINT (10.024722222222222 45.13333333333333),POINT (12.710833333333 41.798333333333),"(45.13333333333333, 10.024722222222222)","(41.798333333333, 12.710833333333)",429.5149462116539,6.062656539914654,15.156641349786634
4153,https://g17.dhi-roma.it/resources/event_7801,APOSTOLIC PROVISION 7801,1622-07-14,1622-07-14,https://g17.dhi-roma.it/resources/institution_460,Placentina provinciae Bononiensis,https://g17.dhi-roma.it/resources/institution_891,Bologna,POINT (9.7 45.05),https://g17.dhi-roma.it/resources/place_451,Piacenza,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a clerical benefice,Holder of a benefice",0.4,POINT (9.7 45.05),POINT (12.498611111111 41.8975),"(45.05, 9.7)","(41.8975, 12.498611111111)",417.0094763229753,6.033108946535737,15.082772366339343
4064,https://g17.dhi-roma.it/resources/event_6450,APOSTOLIC PROVISION 6450,1622-07-19,1622-07-19,https://g17.dhi-roma.it/resources/institution_625,Veronensis,https://g17.dhi-roma.it/resources/institution_839,Aquileia,POINT (10.992777777777778 45.43861111111111),https://g17.dhi-roma.it/resources/place_608,Verona,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,chapel and chaplaincy,Liturgical office,church,Church institutions",0.4,POINT (10.992777777777778 45.43861111111111),POINT (12.498611111111 41.8975),"(45.43861111111111, 10.992777777777778)","(41.8975, 12.498611111111)",411.7343380188588,6.020378330735902,15.050945826839754
3292,https://g17.dhi-roma.it/resources/event_6451,APOSTOLIC PROVISION 6451,1622-07-19,1622-07-19,https://g17.dhi-roma.it/resources/institution_625,Veronensis,https://g17.dhi-roma.it/resources/institution_839,Aquileia,POINT (10.992777777777778 45.43861111111111),https://g17.dhi-roma.it/resources/place_608,Verona,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",0.4,POINT (10.992777777777778 45.43861111111111),POINT (12.498611111111 41.8975),"(45.43861111111111, 10.992777777777778)","(41.8975, 12.498611111111)",411.7343380188588,6.020378330735902,15.050945826839754
3072,https://g17.dhi-roma.it/resources/event_6452,APOSTOLIC PROVISION 6452,1622-07-19,1622-07-19,https://g17.dhi-roma.it/resources/institution_625,Veronensis,https://g17.dhi-roma.it/resources/institution_839,Aquileia,POINT (10.992777777777778 45.43861111111111),https://g17.dhi-roma.it/resources/place_608,Verona,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,Reservation of a pension,Pension related types,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",0.4,POINT (10.992777777777778 45.43861111111111),POINT (12.498611111111 41.8975),"(45.43861111111111, 10.992777777777778)","(41.8975, 12.498611111111)",411.7343380188588,6.020378330735902,15.050945826839754
2206,https://g17.dhi-roma.it/resources/event_6961,APOSTOLIC PROVISION 6961,1678-01-26,1678-01-26,https://g17.dhi-roma.it/resources/institution_486,Regiensis,https://g17.dhi-roma.it/resources/institution_841,Ravenna,POINT (10.633333333333 44.7),https://g17.dhi-roma.it/resources/place_476,Reggio Emilia,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Collegiate church,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (10.633333333333 44.7),POINT (12.482777777778 41.893055555556),"(44.7, 10.633333333333)","(41.893055555556, 12.482777777778)",346.05612088927955,5.846600961006836,14.61650240251709
1673,https://g17.dhi-roma.it/resources/event_6960,APOSTOLIC PROVISION 6960,1678-01-26,1678-01-26,https://g17.dhi-roma.it/resources/institution_486,Regiensis,https://g17.dhi-roma.it/resources/institution_841,Ravenna,POINT (10.633333333333 44.7),https://g17.dhi-roma.it/resources/place_476,Reggio Emilia,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Major church,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (10.633333333333 44.7),POINT (12.482777777778 41.893055555556),"(44.7, 10.633333333333)","(41.893055555556, 12.482777777778)",346.05612088927955,5.846600961006836,14.61650240251709
867,https://g17.dhi-roma.it/resources/event_8100,APOSTOLIC PROVISION 8100,1678-03-26,1678-03-26,https://g17.dhi-roma.it/resources/institution_265,Forosempronensis,https://g17.dhi-roma.it/resources/institution_894,Urbino,POINT (12.806119444444 43.688955555556),https://g17.dhi-roma.it/resources/place_256,Fossombrone,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions",0.4,POINT (12.806119444444 43.688955555556),POINT (12.482777777778 41.893055555556),"(43.688955555556, 12.806119444444)","(41.893055555556, 12.482777777778)",201.2499804006504,5.304547818910596,13.26136954727649
2864,https://g17.dhi-roma.it/resources/event_7434,APOSTOLIC PROVISION 7434,1678-07-06,1678-07-06,https://g17.dhi-roma.it/resources/institution_261,Firmana,https://g17.dhi-roma.it/resources/institution_995,Fermo,POINT (13.7181 43.160419444444),https://g17.dhi-roma.it/resources/place_252,Fermo,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons",0.4,POINT (13.7181 43.160419444444),POINT (12.498611111111 41.8975),"(43.160419444444, 13.7181)","(41.8975, 12.498611111111)",172.39055683552547,5.149762581993471,12.874406454983678
1972,https://g17.dhi-roma.it/resources/event_7442,APOSTOLIC PROVISION 7442,1678-08-26,1678-08-26,https://g17.dhi-roma.it/resources/institution_149,Camerinensis,https://g17.dhi-roma.it/resources/institution_995,Fermo,POINT (13.066666666667 43.133333333333),https://g17.dhi-roma.it/resources/place_144,Camerino,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",0.4,POINT (13.066666666667 43.133333333333),POINT (12.498611111111 41.8975),"(43.133333333333, 13.066666666667)","(41.8975, 12.498611111111)",144.99944100021992,4.9767298872422465,12.441824718105616
