,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels,time_delta,geometry_15,geometry_19,coords_15,coords_19,distance
2324,https://g17.dhi-roma.it/resources/event_6079,APOSTOLIC PROVISION 6079,1621-12-16,1622-07-21,https://g17.dhi-roma.it/resources/institution_421,Novariensis,https://g17.dhi-roma.it/resources/institution_838,Milano,POINT (8.62 45.45),https://g17.dhi-roma.it/resources/place_414,Novara,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship",217.0,POINT (8.62 45.45),POINT (12.498611111111 41.8975),"(45.45, 8.62)","(41.8975, 12.498611111111)",503.4802609366144
2325,https://g17.dhi-roma.it/resources/event_509,APOSTOLIC PROVISION 509,1622-08-16,1622-10-01,https://g17.dhi-roma.it/resources/institution_96,Balneoregien,https://g17.dhi-roma.it/resources/institution_896,Rome,POINT (12.089166666667 42.63),https://g17.dhi-roma.it/resources/place_92,Bagnoregio,https://g17.dhi-roma.it/resources/place_578,Tusculum,POINT (12.710833333333 41.798333333333),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship,Parish Church,Church institutions",46.0,POINT (12.089166666667 42.63),POINT (12.710833333333 41.798333333333),"(42.63, 12.089166666667)","(41.798333333333, 12.710833333333)",105.68257818619907
2326,https://g17.dhi-roma.it/resources/event_5843,APOSTOLIC PROVISION 5843,1622-05-16,1622-06-17,https://g17.dhi-roma.it/resources/institution_460,Placentina provinciae Bononiensis,https://g17.dhi-roma.it/resources/institution_891,Bologna,POINT (9.7 45.05),https://g17.dhi-roma.it/resources/place_451,Piacenza,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship",32.0,POINT (9.7 45.05),POINT (12.498611111111 41.8975),"(45.05, 9.7)","(41.8975, 12.498611111111)",417.0094763229753
2327,https://g17.dhi-roma.it/resources/event_1771,APOSTOLIC PROVISION 1771,1622-03-16,1622-12-05,https://g17.dhi-roma.it/resources/institution_142,Caietana,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (13.566666666667 41.216666666667),https://g17.dhi-roma.it/resources/place_137,Gaeta,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions",264.0,POINT (13.566666666667 41.216666666667),POINT (12.482777777778 41.893055555556),"(41.216666666667, 13.566666666667)","(41.893055555556, 12.482777777778)",117.55658119850499
2328,https://g17.dhi-roma.it/resources/event_1416,APOSTOLIC PROVISION 1416,1622-10-16,1622-12-01,https://g17.dhi-roma.it/resources/institution_549,Surrentina,https://g17.dhi-roma.it/resources/institution_851,Sorrento,POINT (14.373611111111 40.627777777778),https://g17.dhi-roma.it/resources/place_537,Sorrento,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Archdeacon,Liturgical office",46.0,POINT (14.373611111111 40.627777777778),POINT (12.482777777778 41.893055555556),"(40.627777777778, 14.373611111111)","(41.893055555556, 12.482777777778)",211.77935744505643
2329,https://g17.dhi-roma.it/resources/event_6032,APOSTOLIC PROVISION 6032,1621-07-16,1622-07-15,https://g17.dhi-roma.it/resources/institution_574,Tranensis,https://g17.dhi-roma.it/resources/institution_879,Trani,POINT (16.416666666667 41.266666666667),https://g17.dhi-roma.it/resources/place_561,Trani,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice",364.0,POINT (16.416666666667 41.266666666667),POINT (12.498611111111 41.8975),"(41.266666666667, 16.416666666667)","(41.8975, 12.498611111111)",334.1241167635731
2330,https://g17.dhi-roma.it/resources/event_5712,APOSTOLIC PROVISION 5712,1622-04-15,1622-06-09,https://g17.dhi-roma.it/resources/institution_63,Aquilana,https://g17.dhi-roma.it/resources/institution_849,Napoli,POINT (13.391991666667 42.354008333333),https://g17.dhi-roma.it/resources/place_59,L'Aquila,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Church institutions,Collegiate church",55.0,POINT (13.391991666667 42.354008333333),POINT (12.498611111111 41.8975),"(42.354008333333, 13.391991666667)","(41.8975, 12.498611111111)",89.59925077487175
2331,https://g17.dhi-roma.it/resources/event_5661,APOSTOLIC PROVISION 5661,1621-05-16,1622-05-30,https://g17.dhi-roma.it/resources/institution_262,Florentina,https://g17.dhi-roma.it/resources/institution_842,Firenze,POINT (11.254166666667 43.771388888889),https://g17.dhi-roma.it/resources/place_253,Florence,https://g17.dhi-roma.it/resources/place_578,Tusculum,POINT (12.710833333333 41.798333333333),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,chapel and chaplaincy,Liturgical office,church,Church institutions",379.0,POINT (11.254166666667 43.771388888889),POINT (12.710833333333 41.798333333333),"(43.771388888889, 11.254166666667)","(41.798333333333, 12.710833333333)",249.48514198379826
2332,https://g17.dhi-roma.it/resources/event_873,APOSTOLIC PROVISION 873,1622-09-15,1622-11-24,https://g17.dhi-roma.it/resources/institution_91,Avellinensis,https://g17.dhi-roma.it/resources/institution_847,Benevento,POINT (14.789722222222 40.915277777778),https://g17.dhi-roma.it/resources/place_87,Avellino,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,Primicerius,Church institutions,Collegiate church",70.0,POINT (14.789722222222 40.915277777778),POINT (12.482777777778 41.893055555556),"(40.915277777778, 14.789722222222)","(41.893055555556, 12.482777777778)",221.35854921152935
2333,https://g17.dhi-roma.it/resources/event_5515,APOSTOLIC PROVISION 5515,1621-10-16,1622-04-15,https://g17.dhi-roma.it/resources/institution_369,Mediolanensis,https://g17.dhi-roma.it/resources/institution_838,Milano,POINT (9.19 45.466944444444),https://g17.dhi-roma.it/resources/place_361,Milan,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,Reservation of a pension,Pension related types,Defined administrative office,Administrative office,Provostship,Parish Church,Church institutions",181.0,POINT (9.19 45.466944444444),POINT (12.482777777778 41.893055555556),"(45.466944444444, 9.19)","(41.893055555556, 12.482777777778)",477.5742452291933
