"event","event_label","date_value_7","date_value_4","diocese_11","diocese_11_label","province","province_label","map_15","place_13","place_13_label","place_17","place_17_label","map_19","type_labels"
"https://g17.dhi-roma.it/resources/event_5937","APOSTOLIC PROVISION 5937","1622-06-05","1622-06-16","https://g17.dhi-roma.it/resources/institution_357","Marsicana","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (13.438055555556 42.047027777778)","https://g17.dhi-roma.it/resources/place_349","Marsica","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","deceased in Rome,apostolic provision,papal grace,death of previous holder,Without care of souls,Abbot"
"https://g17.dhi-roma.it/resources/event_3846","APOSTOLIC PROVISION 3846","1622-08-16","1622-10-29","https://g17.dhi-roma.it/resources/institution_99","Barchinonensis","https://g17.dhi-roma.it/resources/institution_870","Tarragona","POINT (2.1769444444444 41.3825)","https://g17.dhi-roma.it/resources/place_95","Barcelona","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_657","APOSTOLIC PROVISION 657","1622-03-16","1622-10-01","https://g17.dhi-roma.it/resources/institution_345","Lucensis","https://g17.dhi-roma.it/resources/institution_874","Santiago","POINT (-7.5572222222222 43.011666666667)","https://g17.dhi-roma.it/resources/place_336","Lugo","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_3406","APOSTOLIC PROVISION 3406","1674-09-29","1677-12-30","https://g17.dhi-roma.it/resources/institution_167","Castellanetensis","https://g17.dhi-roma.it/resources/institution_861","Taranto","POINT (16.933333333333 40.633333333333)","https://g17.dhi-roma.it/resources/place_161","Castellaneta","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,Referral to a higher authority,death of previous holder"
"https://g17.dhi-roma.it/resources/event_870","APOSTOLIC PROVISION 870","1622-04-15","1622-11-24","https://g17.dhi-roma.it/resources/institution_15","Abulensis","https://g17.dhi-roma.it/resources/institution_874","Santiago","POINT (-4.6962222222222 40.654347222222)","https://g17.dhi-roma.it/resources/place_11","Ávila","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,church,Holder of a benefice"
"https://g17.dhi-roma.it/resources/event_7690","APOSTOLIC PROVISION 7690","1621-10-16","1622-04-15","https://g17.dhi-roma.it/resources/institution_140","Caesaraugustana","https://g17.dhi-roma.it/resources/institution_869","Zaragoza","POINT (-0.88333333333333 41.65)","https://g17.dhi-roma.it/resources/place_135","Zaragoza","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Curate,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_4587","APOSTOLIC PROVISION 4587","1622-07-16","1623-01-30","https://g17.dhi-roma.it/resources/institution_451","Perusina","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (12.3888 43.1121)","https://g17.dhi-roma.it/resources/place_443","Perugia","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Rectorship"
"https://g17.dhi-roma.it/resources/event_1275","APOSTOLIC PROVISION 1275","1621-11-15","1622-11-26","https://g17.dhi-roma.it/resources/institution_149","Camerinensis","https://g17.dhi-roma.it/resources/institution_995","Fermo","POINT (13.066666666667 43.133333333333)","https://g17.dhi-roma.it/resources/place_144","Camerino","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Without care of souls"
"https://g17.dhi-roma.it/resources/event_5791","APOSTOLIC PROVISION 5791","1622-05-16","1622-06-13","https://g17.dhi-roma.it/resources/institution_296","Hortonensis","https://g17.dhi-roma.it/resources/institution_896","Rome","POINT (14.403594444444 42.355658333333)","https://g17.dhi-roma.it/resources/place_287","Ortona","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_1927","APOSTOLIC PROVISION 1927","1622-03-16","1622-09-19","https://g17.dhi-roma.it/resources/institution_369","Mediolanensis","https://g17.dhi-roma.it/resources/institution_838","Milano","POINT (9.19 45.466944444444)","https://g17.dhi-roma.it/resources/place_361","Milan","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
